Date, Open, High, Low, Close
01/30/12, 5733.25, 5733.25, 5651.56, 5671.09
01/27/12, 5794.94, 5794.94, 5728.96, 5733.45
01/26/12, 5722.83, 5806.24, 5722.83, 5795.20
01/25/12, 5752.02, 5777.69, 5694.05, 5723.00
01/24/12, 5782.33, 5782.33, 5719.86, 5751.90
01/23/12, 5728.56, 5789.85, 5723.09, 5782.56
01/20/12, 5741.14, 5749.77, 5721.61, 5728.55
01/19/12, 5702.51, 5743.93, 5693.16, 5741.15
01/18/12, 5693.96, 5709.87, 5647.92, 5702.37
01/17/12, 5657.61, 5724.41, 5657.61, 5693.95
01/16/12, 5635.40, 5662.88, 5609.87, 5657.44
01/13/12, 5662.91, 5709.22, 5583.45, 5636.64
01/12/12, 5670.85, 5699.57, 5640.30, 5662.42
01/11/12, 5696.88, 5700.75, 5644.75, 5670.82
01/10/12, 5612.46, 5711.89, 5612.46, 5696.70
01/09/12, 5649.28, 5673.82, 5604.62, 5612.26
01/06/12, 5624.40, 5682.78, 5623.36, 5649.68
01/05/12, 5668.39, 5689.33, 5614.38, 5624.26
01/04/12, 5699.85, 5719.83, 5646.36, 5668.45
01/03/12, 5572.82, 5699.91, 5572.82, 5699.91
01/02/12, 5572.28, 5588.39, 5535.20, 5572.28
12/30/11, 5566.85, 5588.39, 5535.20, 5572.28
12/29/11, 5507.43, 5566.77, 5496.87, 5566.77
12/28/11, 5512.76, 5567.86, 5490.96, 5507.40
12/27/11, 5512.70, 5516.63, 5456.98, 5512.70
12/26/11, 5512.70, 5516.63, 5456.98, 5512.70
12/23/11, 5457.07, 5516.63, 5456.98, 5512.70
12/22/11, 5389.85, 5469.03, 5389.85, 5456.97
12/21/11, 5419.64, 5479.19, 5371.65, 5389.74
12/20/11, 5365.07, 5426.28, 5328.67, 5419.60
12/19/11, 5387.32, 5410.06, 5343.08, 5364.99
12/16/11, 5401.39, 5452.65, 5387.34, 5387.34
12/15/11, 5366.90, 5434.02, 5366.90, 5400.85
12/14/11, 5490.13, 5490.13, 5366.80, 5366.80
12/13/11, 5427.93, 5525.96, 5413.70, 5490.15
12/12/11, 5529.01, 5529.01, 5427.86, 5427.86
12/09/11, 5483.46, 5540.52, 5440.86, 5529.21
12/08/11, 5547.16, 5605.27, 5483.77, 5483.77
12/07/11, 5568.91, 5631.88, 5497.96, 5546.91
12/06/11, 5567.20, 5592.95, 5521.91, 5568.72
12/05/11, 5552.44, 5602.80, 5545.93, 5567.96
12/02/11, 5489.42, 5595.54, 5489.07, 5552.29
12/01/11, 5505.43, 5553.89, 5486.87, 5489.34
11/30/11, 5336.84, 5538.96, 5274.95, 5505.42
11/29/11, 5312.77, 5344.18, 5272.44, 5337.00
11/28/11, 5164.79, 5327.76, 5164.79, 5312.76
11/25/11, 5127.56, 5200.31, 5075.22, 5164.65
11/24/11, 5139.85, 5184.26, 5098.99, 5127.57
11/23/11, 5206.74, 5206.74, 5139.78, 5139.78
11/22/11, 5222.85, 5281.95, 5206.82, 5206.82
11/21/11, 5362.88, 5362.88, 5221.69, 5222.60
11/18/11, 5423.01, 5423.01, 5347.89, 5362.94
11/17/11, 5507.60, 5507.67, 5366.12, 5423.14
11/16/11, 5517.30, 5562.91, 5450.24, 5509.02
11/15/11, 5518.92, 5551.38, 5428.60, 5517.44
11/14/11, 5545.06, 5575.19, 5489.25, 5519.04
11/11/11, 5446.23, 5548.75, 5439.81, 5545.38
11/10/11, 5459.56, 5497.20, 5360.19, 5444.82
11/09/11, 5567.31, 5615.84, 5426.25, 5460.38
11/08/11, 5510.81, 5616.00, 5509.57, 5567.34
11/07/11, 5527.09, 5557.76, 5432.16, 5510.82
11/04/11, 5545.73, 5599.46, 5495.38, 5527.16
11/03/11, 5483.87, 5564.54, 5402.63, 5545.64
11/02/11, 5421.82, 5493.29, 5383.37, 5484.10
11/01/11, 5543.84, 5543.84, 5338.36, 5421.57
10/31/11, 5702.12, 5702.12, 5544.22, 5544.22
10/28/11, 5713.85, 5746.88, 5684.95, 5702.24
10/27/11, 5553.60, 5747.33, 5553.60, 5713.82
10/26/11, 5525.58, 5576.63, 5498.51, 5553.24
10/25/11, 5547.60, 5574.13, 5465.52, 5525.54
10/24/11, 5488.56, 5552.79, 5487.21, 5548.06
10/21/11, 5384.74, 5500.54, 5384.74, 5488.65
10/20/11, 5450.22, 5450.22, 5363.16, 5384.68
10/19/11, 5411.02, 5483.79, 5410.97, 5450.49
10/18/11, 5436.62, 5436.62, 5348.64, 5410.35
10/17/11, 5466.43, 5543.72, 5405.20, 5436.70
10/14/11, 5403.60, 5501.39, 5395.57, 5466.36
10/13/11, 5441.69, 5456.09, 5368.37, 5403.38
10/12/11, 5395.94, 5458.02, 5348.16, 5441.80
10/11/11, 5398.84, 5398.97, 5330.42, 5395.70
10/10/11, 5303.55, 5413.43, 5303.55, 5399.00
10/07/11, 5291.27, 5370.89, 5261.43, 5303.40
10/06/11, 5102.25, 5291.26, 5102.25, 5291.26
10/05/11, 4944.87, 5121.40, 4944.87, 5102.17
10/04/11, 5075.33, 5075.33, 4868.60, 4944.44
10/03/11, 5126.97, 5126.97, 4983.28, 5075.50
09/30/11, 5196.66, 5197.33, 5068.63, 5128.48
09/29/11, 5217.64, 5250.18, 5160.77, 5196.84
09/28/11, 5293.86, 5314.29, 5191.36, 5217.63
09/27/11, 5091.66, 5294.05, 5091.66, 5294.05
09/26/11, 5066.56, 5148.81, 4974.03, 5089.37
09/23/11, 5042.55, 5105.38, 4928.14, 5066.81
09/22/11, 5287.65, 5287.65, 5013.55, 5041.61
09/21/11, 5363.64, 5366.09, 5268.82, 5288.41
09/20/11, 5259.52, 5377.39, 5219.09, 5363.71
09/19/11, 5368.09, 5368.09, 5231.62, 5259.56
09/16/11, 5337.69, 5406.10, 5337.69, 5368.41
09/15/11, 5227.12, 5366.74, 5227.12, 5337.54
09/14/11, 5174.18, 5270.42, 5146.39, 5227.02
09/13/11, 5130.63, 5203.07, 5069.52, 5174.25
