Date,Price,Open,High,Low,Vol.,Change %
2002-01-04,"5,323.80","5,318.80","5,362.30","5,313.90",,0.09%
2002-01-07,"5,293.60","5,323.80","5,354.20","5,277.70",,-0.57%
2002-01-08,"5,250.40","5,293.60","5,307.30","5,238.70",,-0.82%
2002-01-09,"5,228.50","5,250.40","5,250.40","5,200.70",,-0.42%
2002-01-10,"5,190.70","5,228.50","5,228.50","5,177.60",,-0.72%
2002-01-11,"5,198.60","5,190.70","5,229.50","5,171.70",,0.15%
2002-01-14,"5,113.50","5,198.60","5,198.60","5,095.60",,-1.64%
2002-01-15,"5,166.00","5,113.50","5,175.40","5,081.90",,1.03%
2002-01-16,"5,127.60","5,166.00","5,168.10","5,106.00",,-0.74%
2002-01-17,"5,138.40","5,127.60","5,180.30","5,114.80",,0.21%
2002-01-18,"5,126.80","5,138.40","5,150.80","5,103.20",,-0.23%
2002-01-21,"5,138.50","5,126.80","5,146.50","5,086.00",,0.23%
2002-01-22,"5,149.20","5,138.50","5,207.20","5,124.10",,0.21%
2002-01-23,"5,180.60","5,149.20","5,201.00","5,123.40",,0.61%
2002-01-24,"5,233.10","5,180.60","5,263.40","5,180.60",,1.01%
2002-01-25,"5,193.00","5,233.10","5,233.10","5,162.60",,-0.77%
2002-01-28,"5,223.60","5,193.00","5,249.90","5,193.00",,0.59%
2002-01-29,"5,131.40","5,223.60","5,243.20","5,131.40",,-1.77%
2002-01-30,"5,089.30","5,131.40","5,131.40","5,052.80",,-0.82%
2002-01-31,"5,164.80","5,089.30","5,176.40","5,088.70",,1.48%
2002-02-01,"5,189.70","5,164.80","5,227.40","5,164.80",,0.48%
2002-02-04,"5,167.30","5,189.70","5,189.70","5,139.70",,-0.43%
2002-02-05,"5,093.40","5,167.30","5,167.30","5,056.80",,-1.43%
2002-02-06,"5,073.80","5,093.40","5,106.90","5,038.30",,-0.38%
2002-02-07,"5,127.00","5,073.80","5,127.00","5,038.30",,1.05%
2002-02-08,"5,128.10","5,127.00","5,147.70","5,105.00",,0.02%
2002-02-11,"5,161.80","5,128.10","5,173.60","5,128.10",,0.66%
2002-02-12,"5,135.70","5,161.80","5,216.90","5,130.10",,-0.51%
2002-02-13,"5,153.90","5,135.70","5,164.60","5,097.70",,0.35%
2002-02-14,"5,208.70","5,153.90","5,238.00","5,151.90",,1.06%
2002-02-15,"5,182.50","5,208.70","5,235.40","5,174.80",,-0.50%
2002-02-18,"5,154.30","5,182.50","5,195.70","5,152.30",,-0.54%
2002-02-19,"5,092.50","5,154.30","5,154.30","5,089.00",,-1.20%
2002-02-20,"5,024.10","5,092.50","5,092.50","5,015.50",,-1.34%
2002-02-21,"5,073.30","5,024.10","5,096.60","5,024.10",,0.98%
2002-02-22,"5,050.80","5,073.30","5,074.10","5,016.00",,-0.44%
2002-02-25,"5,100.70","5,050.80","5,105.70","5,047.90",,0.99%
2002-02-26,"5,139.00","5,100.80","5,157.40","5,100.80",,0.75%
2002-02-27,"5,178.40","5,139.00","5,196.90","5,129.60",,0.77%
2002-02-28,"5,101.00","5,178.40","5,178.40","5,093.70",,-1.49%
2002-03-01,"5,169.00","5,101.00","5,172.30","5,101.00",,1.33%
2002-03-04,"5,242.00","5,169.00","5,270.70","5,169.00",,1.41%
2002-03-05,"5,214.00","5,242.00","5,269.40","5,208.00",,-0.53%
2002-03-06,"5,245.50","5,214.00","5,251.00","5,188.50",,0.60%
2002-03-07,"5,282.10","5,245.50","5,317.60","5,245.50",,0.70%
2002-03-08,"5,285.70","5,282.10","5,328.60","5,252.70",,0.07%
2002-03-11,"5,258.90","5,285.70","5,313.60","5,257.30",,-0.51%
2002-03-12,"5,252.50","5,258.90","5,258.90","5,200.60",,-0.12%
2002-03-13,"5,272.00","5,252.50","5,307.30","5,237.60",,0.37%
2002-03-14,"5,261.40","5,272.00","5,272.00","5,237.20",,-0.20%
2002-03-15,"5,292.70","5,261.40","5,297.20","5,243.50",,0.59%
2002-03-18,"5,299.90","5,292.70","5,320.80","5,278.70",,0.14%
2002-03-19,"5,316.10","5,299.90","5,331.60","5,299.90",,0.31%
2002-03-20,"5,266.90","5,316.10","5,316.10","5,253.50",,-0.93%
2002-03-21,"5,253.30","5,266.90","5,279.70","5,240.10",,-0.26%
2002-03-22,"5,250.50","5,253.30","5,268.40","5,235.30",,-0.05%
2002-03-25,"5,203.60","5,250.50","5,298.40","5,203.60",,-0.89%
2002-03-26,"5,195.50","5,203.60","5,222.20","5,170.50",,-0.16%
2002-03-27,"5,214.70","5,195.50","5,225.40","5,189.40",,0.37%
2002-03-28,"5,271.80","5,214.70","5,286.40","5,214.70",,1.09%
2002-04-02,"5,251.40","5,271.80","5,271.80","5,231.50",,-0.39%
2002-04-03,"5,247.80","5,251.40","5,268.40","5,235.40",,-0.07%
2002-04-04,"5,209.50","5,247.80","5,247.80","5,187.70",,-0.73%
2002-04-05,"5,233.60","5,209.50","5,261.10","5,207.00",,0.46%
2002-04-08,"5,178.60","5,233.60","5,238.80","5,149.30",,-1.05%
2002-04-09,"5,179.60","5,178.60","5,213.20","5,164.60",,0.02%
2002-04-10,"5,229.10","5,179.60","5,236.10","5,155.10",,0.96%
2002-04-11,"5,137.40","5,229.10","5,243.70","5,136.30",,-1.75%
2002-04-12,"5,161.00","5,137.40","5,179.90","5,137.40",,0.46%
2002-04-15,"5,201.40","5,161.00","5,209.00","5,153.20",,0.78%
2002-04-16,"5,259.90","5,201.40","5,259.90","5,201.40",,1.12%
2002-04-17,"5,263.90","5,259.90","5,292.30","5,256.60",,0.08%
2002-04-18,"5,229.40","5,263.90","5,291.60","5,229.40",,-0.66%
2002-04-19,"5,243.60","5,229.40","5,248.90","5,210.40",,0.27%
2002-04-22,"5,221.50","5,243.60","5,243.60","5,209.50",,-0.42%
2002-04-23,"5,191.00","5,221.50","5,241.60","5,171.50",,-0.58%
2002-04-24,"5,218.20","5,191.00","5,225.30","5,169.00",,0.52%
2002-04-25,"5,197.50","5,218.20","5,218.20","5,116.00",,-0.40%
2002-04-26,"5,159.00","5,197.50","5,218.00","5,141.90",,-0.74%
2002-04-29,"5,153.90","5,159.00","5,171.40","5,123.70",,-0.10%
2002-04-30,"5,165.60","5,153.90","5,168.80","5,131.90",,0.23%
2002-05-01,"5,125.50","5,165.60","5,177.70","5,125.00",,-0.78%
2002-05-02,"5,174.10","5,125.50","5,192.70","5,125.50",,0.95%
2002-05-03,"5,203.10","5,174.10","5,236.00","5,146.50",,0.56%
2002-05-07,"5,119.90","5,203.10","5,203.10","5,082.70",,-1.60%
2002-05-08,"5,209.10","5,119.90","5,209.10","5,119.90",,1.74%
2002-05-09,"5,197.60","5,209.10","5,216.60","5,178.30",,-0.22%
2002-05-10,"5,171.20","5,197.60","5,204.30","5,160.20",,-0.51%
2002-05-13,"5,204.80","5,171.20","5,208.20","5,147.50",,0.65%
2002-05-14,"5,239.50","5,204.80","5,260.90","5,181.90",,0.67%
2002-05-15,"5,259.10","5,239.50","5,272.20","5,236.70",,0.37%
2002-05-16,"5,248.50","5,259.10","5,278.90","5,241.90",,-0.20%
2002-05-17,"5,218.00","5,248.50","5,282.20","5,211.90",,-0.58%
2002-05-20,"5,208.10","5,218.00","5,246.50","5,200.30",,-0.19%
2002-05-21,"5,197.20","5,208.10","5,242.40","5,187.60",,-0.21%
2002-05-22,"5,151.90","5,197.20","5,200.50","5,137.00",,-0.87%
2002-05-23,"5,175.30","5,151.90","5,195.90","5,129.40",,0.45%
2002-05-24,"5,169.10","5,175.30","5,197.10","5,166.80",,-0.12%
2002-05-27,"5,136.30","5,169.10","5,187.90","5,136.00",,-0.63%
2002-05-28,"5,074.20","5,136.30","5,169.10","5,062.40",,-1.21%
2002-05-29,"5,083.00","5,074.20","5,085.10","5,056.40",,0.17%
2002-05-30,"5,040.80","5,083.00","5,083.00","5,016.90",,-0.83%
2002-05-31,"5,085.10","5,040.80","5,085.10","5,036.30",,0.88%
2002-06-05,"4,989.10","5,085.10","5,085.10","4,971.40",,-1.89%
2002-06-06,"4,957.60","4,989.10","5,016.70","4,951.40",,-0.63%
